Scenario,Question,JavaMOP,MSL
Scenario 1,Is more intuitive and understandable,16,54
Scenario 1,Allows for faster and more direct specification writing for the proposed scenario,18,52
Scenario 1,Requires greater detail and rigor when writing specifications,35,35
Scenario 1,Offers simpler syntax,10,60
Scenario 2,Is more intuitive and understandable,14,56
Scenario 2,Allows for faster and more direct specification writing for the proposed scenario,14,56
Scenario 2,Requires greater detail and rigor when writing specifications,44,26
Scenario 2,Offers simpler syntax,7,63
Scenario 3,Is more intuitive and understandable,17,53
Scenario 3,Allows for faster and more direct specification writing for the proposed scenario,18,52
Scenario 3,Requires greater detail and rigor when writing specifications,45,25
Scenario 3,Offers simpler syntax,11,59
Scenario 4,Is more intuitive and understandable,25,45
Scenario 4,Allows for faster and more direct specification writing for the proposed scenario,27,43
Scenario 4,Requires greater detail and rigor when writing specifications,40,30
Scenario 4,Offers simpler syntax,25,45
Scenario 5,Is more intuitive and understandable,18,52
Scenario 5,Allows for faster and more direct specification writing for the proposed scenario,16,54
Scenario 5,Requires greater detail and rigor when writing specifications,41,29
Scenario 5,Offers simpler syntax,7,63
Scenario 6,Is more intuitive and understandable,24,46
Scenario 6,Allows for faster and more direct specification writing for the proposed scenario,25,45
Scenario 6,Requires greater detail and rigor when writing specifications,32,38
Scenario 6,Offers simpler syntax,23,47
Scenario 7,Is more intuitive and understandable,18,52
Scenario 7,Allows for faster and more direct specification writing for the proposed scenario,16,54
Scenario 7,Requires greater detail and rigor when writing specifications,42,28
Scenario 7,Offers simpler syntax,7,63
Scenario 8,Is more intuitive and understandable,16,54
Scenario 8,Allows for faster and more direct specification writing for the proposed scenario,21,49
Scenario 8,Requires greater detail and rigor when writing specifications,41,29
Scenario 8,Offers simpler syntax,16,54
Scenario 9,Is more intuitive and understandable,33,37
Scenario 9,Allows for faster and more direct specification writing for the proposed scenario,31,39
Scenario 9,Requires greater detail and rigor when writing specifications,29,41
Scenario 9,Offers simpler syntax,33,37
Scenario 10,Is more intuitive and understandable,14,56
Scenario 10,Allows for faster and more direct specification writing for the proposed scenario,13,57
Scenario 10,Requires greater detail and rigor when writing specifications,46,24
Scenario 10,Offers simpler syntax,7,63
Scenario 11,Is more intuitive and understandable,16,54
Scenario 11,Allows for faster and more direct specification writing for the proposed scenario,16,54
Scenario 11,Requires greater detail and rigor when writing specifications,45,25
Scenario 11,Offers simpler syntax,9,61
